row_id,candidate_class,score_pre_sort,eligibility,eligibility_reason,primary_class,owned_classes,from_cooc,from_narrative,from_pop
58,rogue,0.6369466185668472,eligible,ok,ranger,ranger,0.55,0.05010451330368924,0.03684210526315789
58,fighter,0.26438571498862895,eligible,"need STR>=13 or DEX>=13; have STR=10, DEX=18",ranger,ranger,0.0,0.16438571498862892,0.1
58,druid,0.05921366495050559,eligible,ok,ranger,ranger,0.0,0.03816103337155822,0.021052631578947368
58,cleric,0.058448780618835114,eligible,ok,ranger,ranger,0.0,0.026869833250414064,0.031578947368421054
59,fighter,0.76313391777749,eligible,"need STR>=13 or DEX>=13; have STR=8, DEX=18",monk,monk,0.55,0.11313391777748995,0.1
59,ranger,0.6030148285458818,eligible,ok,monk,monk,0.55,0.02669903907219763,0.02631578947368421
59,cleric,0.08893383499073312,eligible,ok,monk,monk,0.0,0.05735488762231206,0.031578947368421054
59,druid,0.06903955903915698,eligible,ok,monk,monk,0.0,0.04798692746020962,0.021052631578947368
59,rogue,0.07380029864237499,eligible,ok,monk,monk,0.0,0.036958193379217096,0.03684210526315789
60,barbarian,0.6259952226723747,eligible,ok,paladin,paladin,0.55,0.04441627530395366,0.031578947368421054
60,fighter,0.2412305855158073,eligible,"need STR>=13 or DEX>=13; have STR=16, DEX=10",paladin,paladin,0.0,0.1412305855158073,0.1
60,sorcerer,0.03621044558603398,eligible,ok,paladin,paladin,0.0,0.02042097190182345,0.015789473684210527
60,warlock,0.04468478527457606,eligible,ok,paladin,paladin,0.0,0.02363215369562869,0.021052631578947368
60,bard,0.015789473684210527,eligible,ok,paladin,paladin,0.0,0.0,0.015789473684210527
61,paladin,-1000.0,ineligible,STR>=13 (have 8),bard,bard,0.0,0.03851692929671376,0.02631578947368421
61,warlock,0.06494655870331369,eligible,ok,bard,bard,0.0,0.043893927124366315,0.021052631578947368
61,fighter,0.15802029808206827,eligible,"need STR>=13 or DEX>=13; have STR=8, DEX=14",bard,bard,0.0,0.058020298082068274,0.1
61,rogue,0.05610094455429664,eligible,ok,bard,bard,0.0,0.019258839291138752,0.03684210526315789
61,sorcerer,0.025994631453517845,eligible,ok,bard,bard,0.0,0.010205157769307317,0.015789473684210527
62,artificer,0.027009815990211378,eligible,ok,,,0.0,0.016483500200737692,0.010526315789473684
